"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 16 20:02:55 GMT 2022","Fri Sep 16 20:02:55 GMT 2022","138","API Full","API","api.social.profile.EditSocialLinksNegativeTests","api.social.profile.EditSocialLinksNegativeTests","editProfileInvalidFacebook","Edit profile. Invalid facebook",""
"passed","Fri Sep 16 20:03:00 GMT 2022","Fri Sep 16 20:03:00 GMT 2022","66","API Full","API","api.social.GetUpdateCollectionSettingsTests","api.social.GetUpdateCollectionSettingsTests","getCollectionsSettingsNotValidId","Get collection settings. Invalid collection id",""
"passed","Fri Sep 16 20:02:52 GMT 2022","Fri Sep 16 20:02:52 GMT 2022","315","API Full","API","api.nft.search.SearchNftTests","api.nft.search.SearchNftTests","searchNoOffers","searchNoOffers",""
"passed","Fri Sep 16 20:02:53 GMT 2022","Fri Sep 16 20:02:54 GMT 2022","606","API Full","API","api.social.GetCollectionRoyaltiesTests","api.social.GetCollectionRoyaltiesTests","getCollectionRoyalties","Get collection royalties",""
"passed","Fri Sep 16 20:02:56 GMT 2022","Fri Sep 16 20:02:56 GMT 2022","84","API Full","API","api.social.FollowUnfollowCollection","api.social.FollowUnfollowCollection","unfollowInvalidCollectionId","Unfollow collection. Invalid collection id",""
"passed","Fri Sep 16 20:02:56 GMT 2022","Fri Sep 16 20:02:56 GMT 2022","73","API Full","API","api.social.FollowUnfollowCollection","api.social.FollowUnfollowCollection","unfollowUnauthorized","Unfollow collection. Unauthorized",""
"passed","Fri Sep 16 20:03:00 GMT 2022","Fri Sep 16 20:03:00 GMT 2022","292","API Full","API","api.social.GetUpdateCollectionSettingsTests","api.social.GetUpdateCollectionSettingsTests","getCollectionsSettingsNotAccess","Get collection settings. Not access",""
"passed","Fri Sep 16 20:02:56 GMT 2022","Fri Sep 16 20:02:56 GMT 2022","144","API Full","API","api.social.profile.EditSocialLinksNegativeTests","api.social.profile.EditSocialLinksNegativeTests","editProfileInvalidInstagram","Edit profile. Invalid instagram",""
"passed","Fri Sep 16 20:02:56 GMT 2022","Fri Sep 16 20:02:56 GMT 2022","155","API Full","API","api.social.profile.EditSocialLinksNegativeTests","api.social.profile.EditSocialLinksNegativeTests","editProfileInvalidLinkedin","Edit profile. Invalid linkedin",""
"passed","Fri Sep 16 20:02:55 GMT 2022","Fri Sep 16 20:02:55 GMT 2022","99","API Full","API","api.social.GetMyCollectionsTests","api.social.GetMyCollectionsTests","getMyCollectionsInvalidSort","Get my collections. Invalid sort",""
"passed","Fri Sep 16 20:02:52 GMT 2022","Fri Sep 16 20:02:53 GMT 2022","149","API Full","API","api.nft.search.SearchNftNegativeTests","api.nft.search.SearchNftNegativeTests","searchInvalidStatus","searchInvalidStatus",""
"passed","Fri Sep 16 20:02:56 GMT 2022","Fri Sep 16 20:02:56 GMT 2022","282","API Full","API","api.social.GetUpdateCollectionSettingsTests","api.social.GetUpdateCollectionSettingsTests","editCollectionSettingsInvalidFacebook","Edit collection settings. Invalid facebook",""
"passed","Fri Sep 16 20:02:52 GMT 2022","Fri Sep 16 20:02:52 GMT 2022","322","API Full","API","api.nft.search.SearchNftInCollectionTests","api.nft.search.SearchNftInCollectionTests","searchInCollectionMostPopular","Search nfts in random collection most popular",""
"passed","Fri Sep 16 20:02:53 GMT 2022","Fri Sep 16 20:02:53 GMT 2022","252","API Full","API","api.nft.search.SearchNftInCollectionTests","api.nft.search.SearchNftInCollectionTests","searchInCollectionOnSale","Search nfts in random collection on sale",""
"passed","Fri Sep 16 20:02:54 GMT 2022","Fri Sep 16 20:02:54 GMT 2022","147","API Full","API","api.social.profile.EditProfileNegativeTests","api.social.profile.EditProfileNegativeTests","editProfileInvalidWebsiteUrl","Edit profile. Invalid website url",""
"passed","Fri Sep 16 20:02:53 GMT 2022","Fri Sep 16 20:02:53 GMT 2022","108","API Full","API","api.nft.search.SearchNftNegativeTests","api.nft.search.SearchNftNegativeTests","searchWithoutLimit","searchWithoutLimit",""
